Question,Web Retrieved
Why does ice float in water?,Mechanistic
Why do apples turn brown after they are cut?,Mechanistic
Why does a balloon pop when it's pricked with a needle?,Mechanistic
Why is it harder to breathe at higher altitudes?,Mechanistic
Why is the sun yellow?,Mechanistic
Why are diamonds the hardest substance?,Mechanistic
"Why can’t we see air, but we can feel it?",Mechanistic
Why is iron magnetic?,Mechanistic
Why do dogs have a stronger sense of smell than humans?,Mechanistic
Why are viruses not considered living organisms?,Mechanistic
Why do we grow old?,Mechanistic
Why do cells divide?,Mechanistic
Why is photosynthesis important?,Mechanistic
Why are honeycombs hexagonal?,Mechanistic
Why are bubbles round?,Mechanistic
Why do metals conduct electricity?,Mechanistic
Why do organisms require oxygen for survival?,Mechanistic
Why does spinning a top make it stable?,Mechanistic
Why do helium balloons rise in the air?,Mechanistic
Why does light travel faster than sound?,Mechanistic
Why does an egg turn solid when heated?,Mechanistic
Why do birds fly in a 'V' formation?,Mechanistic
Why is salt used to melt ice?,Mechanistic
Why does a match light when struck?,Mechanistic
Why do aquatic plants release oxygen bubbles?,Mechanistic
Why do cutting onions make us cry?,Mechanistic
Why does gravity exist?,Mechanistic
Why do trees shed their leaves in winter?,Mechanistic
Why do we see a rainbow after a rain shower?,Mechanistic
Why do stars twinkle?,Mechanistic
Why does a mirror reverse images horizontally but not vertically?,Mechanistic
Why do snakes shed their skin?,Mechanistic
Why does warm air rise and cold air sink?,Mechanistic
Why do our bodies need vitamins?,Mechanistic
Why do Mercury and Venus not have any moons?,Mechanistic
Why does rust form on iron?,Mechanistic
Why does sugar dissolve faster in hot water than in cold water?,Mechanistic
Why do we need the ozone layer?,Mechanistic
Why does caffeine keep you awake?,Mechanistic
Why do cheetahs have spots?,Teleological
Why are there tides in the ocean?,Mechanistic
Why do lizards lose their tail?,Teleological
Why do magnets have a north and a south pole?,Mechanistic
Why can't humans digest cellulose?,Mechanistic
Why do we see lightning before we hear thunder?,Mechanistic
Why are plant roots generally underground?,Teleological
Why do chili peppers taste hot?,Mechanistic
Why do bumblebees have stripes?,Teleological
Why does alcohol kill bacteria?,Mechanistic
Why do batteries eventually run out of power?,Mechanistic
Why does water expand when it freezes?,Mechanistic
Why does the Moon seem to change its shape?,Mechanistic
Why do different elements have different atomic structures?,Mechanistic
Why does sleep deprivation affect cognitive function?,Mechanistic
Why is coal a non-renewable resource?,Mechanistic
Why does the color of leaf change in autumn?,Mechanistic
Why does sound get distorted under water?,Mechanistic
Why do tigers have stripes?,Mechanistic
Why is there a periodic table?,Mechanistic
Why do fingernails grow faster than toenails?,Mechanistic
Why do fish have gills?,Mechanistic
Why are there craters on the Moon?,Mechanistic
Why is light a wave and a particle at the same time?,Mechanistic
Why is hydrogen the most abundant element in the universe?,Mechanistic
Why is there no life on Mars?,Mechanistic
Why do spiders spin webs?,Teleological
Why does time seem to slow down near a black hole?,Mechanistic
Why do compasses point towards the North?,Mechanistic
Why does a guitar string vibrate to create sound?,Mechanistic
Why do leaves have veins?,Mechanistic
Why is carbon dioxide a greenhouse gas?,Mechanistic
Why do we feel pain?,Mechanistic
Why do plants need water to grow?,Mechanistic
Why can't we see ultraviolet light?,Mechanistic
Why do teeth decay?,Mechanistic
Why are there seasons on Earth?,Mechanistic
Why is there a limit to the speed of light?,Mechanistic
Why do electrons never fall into the nucleus?,Mechanistic
Why is glass transparent?,Mechanistic
Why do we sweat when we exercise?,Mechanistic
Why do we see different phases of the moon?,Mechanistic
